comment_id,author_name,text,likes,kind,id,snippet,etag
,,,,youtube#commentThread,UgynvcL74J_iCnOtNxp4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'uKIB9KieyerPB1KvCbNd1AGRsj4', 'id': 'UgynvcL74J_iCnOtNxp4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'As someone who returned to Christianity a few months ago, this song speaks volumes to me! RIP DMX. 🙏', 'textOriginal': 'As someone who returned to Christianity a few months ago, this song speaks volumes to me! RIP DMX. 🙏', 'authorDisplayName': 'kylorcarr2', 'authorProfileImageUrl': 'https://yt3.ggpht.com/STsf8Y3GedCPLcQbq9NELyeoo1f1ViHXXRc77iqJj5_0pZyUCpQQvzzxghvBxGw3NZ7UCpd27L0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCb7mrlxC6ZiiyUVNjP6cs4w', 'authorChannelId': {'value': 'UCb7mrlxC6ZiiyUVNjP6cs4w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-12T23:56:31Z', 'updatedAt': '2023-09-12T23:56:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",8NXsY2m6fpDkUhj6J3B9GXGyFC8
,,,,youtube#commentThread,UgxMJe3plob_XdNnu2B4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eWjy_BJFgaD7n09980VazXvxaZQ', 'id': 'UgxMJe3plob_XdNnu2B4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'R..I.P DMX 🙏 <a href=""http://www.youtube.com/results?search_query=%23legend"">#Legend</a>', 'textOriginal': 'R..I.P DMX 🙏 #Legend', 'authorDisplayName': 'K money', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaQNzprLrFLJmMLefVt_xClXDDoviNSv9GqExhlYr1f-I6l1APq7-P1v5H0BrQf8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1Vf1ESUHiEvxd_4lipeO8g', 'authorChannelId': {'value': 'UC1Vf1ESUHiEvxd_4lipeO8g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-12T23:33:45Z', 'updatedAt': '2023-09-12T23:33:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",jsx5v3Jre-15Pi0A3gOCQ0MspRA
,,,,youtube#commentThread,UgxCXaguCGv5SwhCrYp4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pxm_cXIfWaaO2AoEkg8BHCCCr-4', 'id': 'UgxCXaguCGv5SwhCrYp4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'I went from slippin to Lord give me a sign… damn I miss X!!!!!! ❤', 'textOriginal': 'I went from slippin to Lord give me a sign… damn I miss X!!!!!! ❤', 'authorDisplayName': 'TiffyLove Love', 'authorProfileImageUrl': 'https://yt3.ggpht.com/JnJFUHZq0BEBo7acMXHA1ItAXmSJYfhWSrmvXJ4F9JOPA_yhIbjSU-sQe6BkpASWRD6It2NC7w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCSJ9KFXQNlL0k_XJ6SLaG9A', 'authorChannelId': {'value': 'UCSJ9KFXQNlL0k_XJ6SLaG9A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-11T21:44:47Z', 'updatedAt': '2023-09-11T21:44:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",dYZBcizs_mDHCrc4Edh_JBwZPEk
,,,,youtube#commentThread,Ugz0vyefD2Ijr1D3ijF4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dEPJYYECZ05GjdoU4hDlL6BTO28', 'id': 'Ugz0vyefD2Ijr1D3ijF4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'Jesus is now telling DMX YOU BEEN FOOLED I AM NOT THE SON OF GOD IM THE PROPHET OF GOD', 'textOriginal': 'Jesus is now telling DMX YOU BEEN FOOLED I AM NOT THE SON OF GOD IM THE PROPHET OF GOD', 'authorDisplayName': 'Hatem Dairi', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaQsXc28ViQhTPkFz-FIcRNWwFTKGWbiStsXS6QfIw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCE9Jtww-eeueCUaxgK5j6Gw', 'authorChannelId': {'value': 'UCE9Jtww-eeueCUaxgK5j6Gw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-11T13:13:57Z', 'updatedAt': '2023-09-11T13:13:57Z'}}, 'canReply': True, 'totalReplyCount': 5, 'isPublic': True}",3pQyyQetXVjg3CEXjyqQIZ8cT_c
,,,,youtube#commentThread,UgxzE5lFqr0zVSTY4VF4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'R98WrriqF-YV3FCyJaR4CJAF-nY', 'id': 'UgxzE5lFqr0zVSTY4VF4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'Yes Lord I need you. Give me a sign!', 'textOriginal': 'Yes Lord I need you. Give me a sign!', 'authorDisplayName': 'Amelia Irving', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaRtGyHJOuzbTMOVKVbUqBwodiFj04BI3bIjnlTTRhG6X1Wx2IjfYoD5HcYrSGk1=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCcFv_v-e7N-Vgjt2X30oIGg', 'authorChannelId': {'value': 'UCcFv_v-e7N-Vgjt2X30oIGg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-11T12:57:54Z', 'updatedAt': '2023-09-11T12:57:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",Q_znnXA96Wzeq1Wu7ztsgZvckRo
,,,,youtube#commentThread,UgzfBF1q8_oHAH5lixx4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qDF4bb68bzys1FTxaTyixvnNRao', 'id': 'UgzfBF1q8_oHAH5lixx4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'And he was  very Loved', 'textOriginal': 'And he was  very Loved', 'authorDisplayName': 'Sonya Jenkins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaQW220EwnW1ZAwPEZcdgc9gVspT6isFk5_Hew=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9F5vfph4xaSC7SPocCXG1Q', 'authorChannelId': {'value': 'UC9F5vfph4xaSC7SPocCXG1Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-11T10:54:33Z', 'updatedAt': '2023-09-11T10:54:33Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",SmfpmRBZL87MsuDlEJ04f3auI7c
,,,,youtube#commentThread,UgwEuHvJ-ycl5iliGZ54AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'L9DJRDvsN0L5UacutXDMxnz56jM', 'id': 'UgwEuHvJ-ycl5iliGZ54AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'Amem he is resting now', 'textOriginal': 'Amem he is resting now', 'authorDisplayName': 'Sonya Jenkins', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaQW220EwnW1ZAwPEZcdgc9gVspT6isFk5_Hew=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC9F5vfph4xaSC7SPocCXG1Q', 'authorChannelId': {'value': 'UC9F5vfph4xaSC7SPocCXG1Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-11T10:53:23Z', 'updatedAt': '2023-09-11T10:53:23Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",Xp7T0jkHckBHq_eyBQuTpKNs0Yg
,,,,youtube#commentThread,UgwpJ9ERXnwwh8xQ4Gh4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lhXxTNoEJctnzmWP9E0_PQuClGk', 'id': 'UgwpJ9ERXnwwh8xQ4Gh4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'We see them on other level 720 planet Earth department of military affairs and Miranda versus Arizona ruling in supreme courts not remove the crime -scene.', 'textOriginal': 'We see them on other level 720 planet Earth department of military affairs and Miranda versus Arizona ruling in supreme courts not remove the crime -scene.', 'authorDisplayName': 'Mcboom Warsun  UTube ', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaRxRnJXTECrwcepGOj9D8oSkSNnhVfl9isgqpBqXBFgUD9EeYVJ3gzvtDtOY3y8=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCppKGAKb4aP1wzDU2fug_7g', 'authorChannelId': {'value': 'UCppKGAKb4aP1wzDU2fug_7g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-10T18:35:37Z', 'updatedAt': '2023-09-10T18:35:37Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",QBxe66St9loikwkdp42nqbiFL5c
,,,,youtube#commentThread,UgyIBt1oUhGyFG55B3Z4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sRmeGTCnkwGS66zuz9JS2HkbsOw', 'id': 'UgyIBt1oUhGyFG55B3Z4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': '09/2023   Lord....give me a sing', 'textOriginal': '09/2023   Lord....give me a sing', 'authorDisplayName': 'iCanSeeYou', 'authorProfileImageUrl': 'https://yt3.ggpht.com/GRy_CenN-0hAg6kdybwZ94EySqFyORQrEMu9XVUY5Z37UofM91vNBjo5SVIbkcgeTLFEr--QPg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOskSAIGjRDsUAvIQhgUZ2g', 'authorChannelId': {'value': 'UCOskSAIGjRDsUAvIQhgUZ2g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-10T14:41:15Z', 'updatedAt': '2023-09-10T14:41:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",kvEF78G3-nVSdl-yOKJn98plB-8
,,,,youtube#commentThread,Ugxm7ynRBxIc6X7T-hZ4AaABAg,"{'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'h3NrWpM6sWEXb4NaBFdw-oKUEL0', 'id': 'Ugxm7ynRBxIc6X7T-hZ4AaABAg', 'snippet': {'channelId': 'UCYtxcCzHCJjmjhHKH6AEsxQ', 'videoId': 'U8U_gR58eJU', 'textDisplay': 'IN THE NAME OF JESUS! You devil you are BANISHED FROM HERE. WE HAVE SPOKEN WORD..IT IS STRONG…JESUS! Guide me lord. Praise the lord in the name of Jesus. Praise the lord.', 'textOriginal': 'IN THE NAME OF JESUS! You devil you are BANISHED FROM HERE. WE HAVE SPOKEN WORD..IT IS STRONG…JESUS! Guide me lord. Praise the lord in the name of Jesus. Praise the lord.', 'authorDisplayName': 'jacksputrid', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AOPolaS2S6DhWhO1hX27UVIINJcTpBhA2rD48-BaAQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCUCEzYjskR3Pjc8uA5hs8_A', 'authorChannelId': {'value': 'UCUCEzYjskR3Pjc8uA5hs8_A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-09-10T13:50:28Z', 'updatedAt': '2023-09-10T13:50:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",3HS4orviNPPAVXxzxuwxgxSeDGM
